date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:50:25	281/281	---MCZ	200	added ('OK')	text/plain	date:Sun,%2014%20May%202023%2004:15:20%20GMT	https://wavegp.com/robots.txt		(from )
11:50:26	333201/333201	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:19%20GMT	https://wavegp.com/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/index.html	(from )
11:50:27	94889/94889	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff6228-172a9%22	https://wavegp.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://wavegp.com/)
11:50:27	306578/306578	---M--	200	added ('OK')	image/jpeg	etag:%2263ff622b-4ad92%22	https://wavegp.com/wp-content/uploads/2020/11/open-graph-1.jpg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/open-graph-1.jpg	(from https://wavegp.com/)
11:50:28	70/70	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622f-46%22	https://wavegp.com/wp-content/plugins/activecampaign-subscription-forms/activecampaign-form-block/build/style-index.css?ver=1677681199	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/plugins/activecampaign-subscription-forms/activecampaign-form-block/build/style-index2095.css	(from https://wavegp.com/)
11:50:28	217/217	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff6228-d9%22	https://wavegp.com/wp-includes/css/classic-themes.min.css?ver=1	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-includes/css/classic-themes.min68b3.css	(from https://wavegp.com/)
11:50:28	783/783	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%226bd101b3e3a4580ccea3d31861f22e53-gzip%22	https://wavegp.com/comments/feed/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/comments/feed/index.html	(from https://wavegp.com/)
11:50:28	2731/2731	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622f-aab%22	https://wavegp.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.4	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/plugins/contact-form-7/includes/css/styles77e1.css	(from https://wavegp.com/)
11:50:29	15465/15465	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%226bd101b3e3a4580ccea3d31861f22e53-gzip%22	https://wavegp.com/feed/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/feed/index.html	(from https://wavegp.com/)
11:50:29	246/246	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622e-f6%22	https://wavegp.com/wp-content/plugins/table-addons-for-elementor/public/css/table-addons-for-elementor-public.css?ver=1.0.1	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/plugins/table-addons-for-elementor/public/css/table-addons-for-elementor-publicf269.css	(from https://wavegp.com/)
11:50:29	4715/4715	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622d-126b%22	https://wavegp.com/wp-content/plugins/wave-essential/assets/css/bootstap-modal.css?ver=6.1.1	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/plugins/wave-essential/assets/css/bootstap-modal6a4d.css	(from https://wavegp.com/)
